1;arms_factory;893.00;10.35;1576.00;1.59;0
1;arms_factory;868.00;10.80;1523.00;4.25;0
1;arms_factory;798.00;10.40;1546.00;0.99;0
1;arms_factory;896.00;10.60;1566.00;3.66;0
1;arms_factory;846.00;10.75;1539.00;0.04;0
1;arms_factory;850.00;10.70;1550.00;2.70;0
1;industrial_complex;907.00;10.48;1571.00;5.72;0
1;industrial_complex;842.00;10.85;1531.00;0.64;0
1;industrial_complex;880.00;10.55;1556.00;4.76;0
1;industrial_complex;903.00;10.55;1562.00;2.61;0
1;industrial_complex;843.00;10.55;1523.00;2.71;0
1;industrial_complex;909.00;10.50;1558.00;0.55;0
1;air_base;809.00;10.35;1611.00;3.21;0
1;naval_base;842.00;10.28;1583.00;-2.98;18906
1;naval_base;803.00;10.25;1611.00;-2.27;18738
1;naval_base;796.00;10.10;1537.00;-2.74;17832
1;naval_base;794.00;9.50;1572.00;-1.97;17832
1;naval_base;792.00;9.50;1590.00;-1.37;17832
1;naval_base;888.00;10.25;1582.00;-3.06;18409
1;naval_base;796.00;10.15;1563.00;-2.11;17832
1;naval_base;818.00;10.10;1587.00;-3.66;18906
1;naval_base;795.00;9.80;1542.00;-1.57;17832
1;naval_base;823.00;10.10;1589.00;-2.92;18906
1;naval_base;860.00;10.10;1576.00;-2.98;18409
1;naval_base;890.00;10.30;1582.00;-2.55;18409
1;naval_base;788.00;9.50;1594.00;-1.57;17832
1;naval_base;854.00;10.12;1579.00;-3.61;18409
1;naval_base;816.00;10.10;1594.00;-4.25;18906
1;bunker;790.00;10.30;1612.00;2.17;0
1;bunker;902.00;10.68;1536.00;3.38;0
1;bunker;861.00;10.95;1519.00;1.22;0
1;bunker;926.00;10.40;1560.00;5.34;0
1;bunker;814.00;10.62;1554.00;5.45;0
1;bunker;855.00;10.70;1548.00;3.29;0
1;bunker;858.00;10.10;1568.00;5.95;0
1;bunker;928.00;10.32;1567.00;2.33;0
1;bunker;861.00;10.70;1538.00;3.89;0
1;bunker;798.00;10.30;1555.00;1.73;0
1;bunker;878.00;10.60;1521.00;4.40;0
1;bunker;809.00;10.35;1564.00;0.78;0
1;bunker;796.00;10.25;1595.00;2.34;0
1;bunker;916.00;10.43;1572.00;0.18;0
1;bunker;915.00;10.60;1539.00;2.84;0
1;bunker;885.00;10.32;1560.00;5.50;0
1;bunker;858.00;10.60;1548.00;2.24;0
1;bunker;935.00;10.30;1545.00;3.45;0
1;bunker;816.00;10.10;1586.00;1.29;0
